accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0.6240347623825073,1.2043546438217163,0.6383616328239441,0.6167953610420227,0.3513513505458832,1.4095360040664673,0.3500967025756836,0.34942084550857544,9.999999747378752e-05
0.7823359370231628,0.5810608863830566,0.7930693030357361,0.7731660008430481,0.3513513505458832,2.1482882499694824,0.3513513505458832,0.3513513505458832,9.999999747378752e-05
0.8561776280403137,0.3854251205921173,0.8618324398994446,0.8489382266998291,0.36872586607933044,1.8608803749084473,0.3669902980327606,0.36486485600471497,9.999999747378752e-05
0.9078185558319092,0.27452656626701355,0.9125122427940369,0.9010617733001709,0.7683397531509399,0.6633730530738831,0.7833333611488342,0.7258687019348145,9.999999747378752e-05
0.9184362888336182,0.24705328047275543,0.9192606806755066,0.912162184715271,0.7779922485351562,0.5911020040512085,0.8162392973899841,0.7374517321586609,9.999999747378752e-05
0.9256756901741028,0.20549596846103668,0.9264279007911682,0.9237451553344727,0.7374517321586609,0.6540542244911194,0.7475345134735107,0.7316602468490601,9.999999747378752e-05
0.9420849680900574,0.16953717172145844,0.9461426734924316,0.9411196708679199,0.9054054021835327,0.28086143732070923,0.9139999747276306,0.8822394013404846,9.999999747378752e-05
0.9584941864013672,0.12745648622512817,0.9594006538391113,0.9580115675926208,0.969111979007721,0.10027069598436356,0.969111979007721,0.969111979007721,9.999999747378752e-05
0.9478764533996582,0.15235908329486847,0.9500242471694946,0.9449806809425354,0.9806950092315674,0.07629206031560898,0.9825918674468994,0.9806950092315674,9.999999747378752e-05
0.9642857313156128,0.11397697776556015,0.9646660089492798,0.9618725776672363,0.9749034643173218,0.048669591546058655,0.9767891764640808,0.9749034643173218,9.999999747378752e-05
